"Customer.ID","Age","Gender","Total.Revenue","Pay.Method","Sales.Channel","Subscription.Status","Season","Product.Category","Location"
1,55,"Male",53,"Venmo","Online","Member","Winter","Clothing","Kentucky"
2,19,"Male",64,"Cash","Online","Member","Winter","Clothing","Maine"
3,50,"Male",73,"Credit Card","Online","Member","Spring","Clothing","Massachusetts"
4,21,"Male",90,"PayPal","Online","Member","Spring","Footwear","Rhode Island"
5,45,"Male",49,"PayPal","Online","Member","Spring","Clothing","Oregon"
6,46,"Male",20,"Venmo","Standard","Member","Summer","Footwear","Wyoming"
7,63,"Male",85,"Cash","Online","Member","Fall","Clothing","Montana"
8,27,"Male",34,"Credit Card","Online","Member","Winter","Clothing","Louisiana"
9,26,"Male",97,"Venmo","Online","Member","Summer","Outerwear","West Virginia"
10,57,"Male",31,"Cash","2-Day Shipping","Member","Spring","Accessories","Missouri"
11,53,"Male",34,"Bank Transfer","Offline","Member","Fall","Footwear","Arkansas"
12,30,"Male",68,"Bank Transfer","Offline","Member","Winter","Clothing","Hawaii"
13,61,"Male",72,"Venmo","Online","Member","Winter","Outerwear","Delaware"
14,65,"Male",51,"PayPal","Online","Member","Spring","Clothing","New Hampshire"
15,64,"Male",53,"Debit Card","Online","Member","Winter","Outerwear","New York"
16,64,"Male",81,"PayPal","Offline","Member","Winter","Clothing","Rhode Island"
17,25,"Male",36,"Debit Card","Online","Member","Spring","Accessories","Alabama"
18,53,"Male",38,"Venmo","2-Day Shipping","Member","Winter","Clothing","Mississippi"
19,52,"Male",48,"Cash","Online","Member","Summer","Clothing","Montana"
20,66,"Male",90,"Debit Card","Standard","Member","Summer","Clothing","Rhode Island"
21,21,"Male",51,"Cash","Online","Member","Winter","Clothing","Louisiana"
22,31,"Male",62,"Debit Card","Offline","Member","Winter","Clothing","North Carolina"
23,56,"Male",37,"Debit Card","Offline","Member","Summer","Clothing","California"
24,31,"Male",88,"Credit Card","Online","Member","Winter","Clothing","Oklahoma"
25,18,"Male",22,"Debit Card","Offline","Member","Fall","Outerwear","Florida"
26,18,"Male",25,"PayPal","Online","Member","Summer","Clothing","Texas"
27,38,"Male",20,"Credit Card","Online","Member","Spring","Accessories","Nevada"
28,56,"Male",56,"Bank Transfer","Online","Member","Summer","Clothing","Kentucky"
29,54,"Male",94,"PayPal","Online","Member","Fall","Accessories","North Carolina"
30,31,"Male",48,"Credit Card","Offline","Member","Fall","Clothing","Wyoming"
31,57,"Male",31,"Credit Card","Standard","Member","Winter","Accessories","North Carolina"
32,33,"Male",79,"Venmo","Offline","Member","Winter","Clothing","West Virginia"
33,36,"Male",67,"Venmo","Online","Member","Summer","Outerwear","Kansas"
34,54,"Male",38,"Cash","Offline","Member","Summer","Clothing","Colorado"
35,36,"Male",91,"PayPal","2-Day Shipping","Member","Spring","Clothing","North Dakota"
36,54,"Male",33,"Credit Card","2-Day Shipping","Member","Summer","Clothing","Massachusetts"
37,35,"Male",69,"PayPal","Online","Member","Winter","Clothing","Illinois"
38,35,"Male",45,"PayPal","Offline","Member","Summer","Clothing","Indiana"
39,29,"Male",37,"Venmo","2-Day Shipping","Member","Winter","Clothing","Florida"
40,70,"Male",60,"Credit Card","Online","Member","Summer","Clothing","Arizona"
41,69,"Male",76,"Debit Card","Online","Member","Winter","Accessories","Louisiana"
42,67,"Male",39,"Venmo","Standard","Member","Spring","Accessories","Alaska"
43,20,"Male",100,"PayPal","Online","Member","Spring","Outerwear","Tennessee"
44,25,"Male",69,"PayPal","Offline","Member","Fall","Accessories","Ohio"
45,39,"Male",53,"PayPal","Online","Member","Summer","Accessories","Kentucky"
46,50,"Male",21,"PayPal","2-Day Shipping","Member","Fall","Clothing","Tennessee"
47,57,"Male",43,"Cash","Offline","Member","Summer","Clothing","California"
48,55,"Male",54,"Cash","Online","Member","Winter","Accessories","Montana"
49,42,"Male",55,"Cash","Offline","Member","Summer","Clothing","Nevada"
50,68,"Male",30,"Debit Card","Online","Member","Spring","Clothing","New Jersey"
51,49,"Male",28,"Debit Card","Offline","Member","Spring","Clothing","Maryland"
52,59,"Male",59,"Credit Card","2-Day Shipping","Member","Winter","Clothing","Vermont"
53,42,"Male",20,"Credit Card","Online","Member","Summer","Clothing","Alaska"
54,29,"Male",24,"Credit Card","Online","Member","Winter","Clothing","Mississippi"
55,47,"Male",94,"Debit Card","Online","Member","Summer","Outerwear","New Mexico"
56,40,"Male",28,"Credit Card","2-Day Shipping","Member","Winter","Outerwear","South Carolina"
57,41,"Male",73,"Credit Card","Offline","Member","Summer","Accessories","Mississippi"
58,21,"Male",64,"Debit Card","Offline","Member","Summer","Outerwear","West Virginia"
59,69,"Male",54,"Venmo","Online","Member","Summer","Clothing","Missouri"
60,63,"Male",79,"Debit Card","Standard","Member","Spring","Accessories","Louisiana"
61,50,"Male",37,"Cash","Online","Member","Summer","Clothing","Idaho"
62,55,"Male",68,"Credit Card","Offline","Member","Winter","Accessories","Texas"
63,30,"Male",21,"Credit Card","Online","Member","Spring","Footwear","Mississippi"
64,33,"Male",79,"Credit Card","2-Day Shipping","Member","Winter","Accessories","Arizona"
65,65,"Male",83,"Debit Card","Standard","Member","Fall","Footwear","Alabama"
66,65,"Male",36,"Venmo","2-Day Shipping","Member","Spring","Accessories","New Jersey"
67,31,"Male",94,"Venmo","2-Day Shipping","Member","Winter","Clothing","Pennsylvania"
68,45,"Male",33,"Debit Card","Offline","Member","Winter","Outerwear","Connecticut"
69,57,"Male",46,"Cash","Online","Member","Summer","Accessories","Utah"
70,48,"Male",70,"Cash","Online","Member","Summer","Accessories","Tennessee"
71,22,"Male",29,"Debit Card","Online","Member","Fall","Accessories","Alabama"
72,36,"Male",48,"Bank Transfer","Online","Member","Summer","Clothing","Virginia"
73,18,"Male",26,"Bank Transfer","Offline","Member","Winter","Clothing","Georgia"
74,48,"Male",85,"Bank Transfer","Online","Member","Spring","Clothing","Hawaii"
75,49,"Male",58,"Cash","Online","Member","Spring","Accessories","Indiana"
76,64,"Male",85,"Credit Card","Online","Member","Summer","Accessories","Utah"
77,50,"Male",43,"Venmo","Online","Member","Summer","Accessories","Delaware"
78,22,"Male",53,"Debit Card","Online","Member","Summer","Clothing","Delaware"
79,50,"Male",91,"Venmo","Online","Member","Spring","Clothing","Nebraska"
80,38,"Male",96,"Bank Transfer","2-Day Shipping","Member","Winter","Outerwear","Iowa"
81,19,"Male",72,"Credit Card","Offline","Member","Summer","Footwear","New York"
82,67,"Male",96,"Credit Card","Online","Member","Summer","Footwear","Virginia"
83,19,"Male",28,"Credit Card","2-Day Shipping","Member","Spring","Clothing","Georgia"
84,36,"Male",40,"Bank Transfer","Standard","Member","Summer","Clothing","Texas"
85,52,"Male",32,"Bank Transfer","Standard","Member","Spring","Outerwear","Arizona"
86,53,"Male",95,"Debit Card","Online","Member","Winter","Accessories","New Mexico"
87,24,"Male",41,"Cash","2-Day Shipping","Member","Spring","Clothing","Nevada"
88,52,"Male",53,"Debit Card","2-Day Shipping","Member","Fall","Footwear","Ohio"
89,33,"Male",47,"Credit Card","Online","Member","Fall","Clothing","Wyoming"
90,47,"Male",83,"Cash","Online","Member","Fall","Outerwear","California"
91,25,"Male",48,"Credit Card","Online","Member","Summer","Accessories","South Carolina"
92,44,"Male",99,"Credit Card","Standard","Member","Winter","Accessories","South Carolina"
93,61,"Male",87,"Venmo","2-Day Shipping","Member","Winter","Outerwear","Texas"
94,37,"Male",62,"Credit Card","Standard","Member","Fall","Clothing","Florida"
95,58,"Male",76,"Credit Card","Online","Member","Spring","Clothing","Nevada"
96,37,"Male",100,"PayPal","Online","Member","Fall","Footwear","Missouri"
97,32,"Male",73,"Venmo","Online","Member","Spring","Accessories","Delaware"
98,21,"Male",92,"Cash","Offline","Member","Winter","Footwear","Virginia"
99,20,"Male",67,"Bank Transfer","Online","Member","Spring","Clothing","New York"
100,26,"Male",40,"Debit Card","Online","Member","Summer","Clothing","Missouri"
101,62,"Male",98,"Cash","Online","Member","Fall","Accessories","South Dakota"
102,27,"Male",85,"Credit Card","Online","Member","Spring","Outerwear","North Dakota"
103,51,"Male",67,"Credit Card","Online","Member","Winter","Clothing","Oklahoma"
104,54,"Male",89,"Venmo","Online","Member","Winter","Footwear","West Virginia"
105,55,"Male",24,"PayPal","2-Day Shipping","Member","Spring","Accessories","New Hampshire"
106,69,"Male",96,"Bank Transfer","Online","Member","Fall","Accessories","New York"
107,64,"Male",35,"Credit Card","Standard","Member","Summer","Outerwear","Minnesota"
108,28,"Male",67,"PayPal","Online","Member","Winter","Footwear","Maryland"
109,70,"Male",79,"Bank Transfer","Online","Member","Spring","Clothing","Montana"
110,58,"Male",85,"Bank Transfer","Online","Member","Spring","Clothing","Alabama"
111,56,"Male",26,"Venmo","Standard","Member","Summer","Accessories","New York"
112,26,"Male",75,"Credit Card","Online","Member","Summer","Accessories","Massachusetts"
113,37,"Male",65,"PayPal","Online","Member","Spring","Accessories","Florida"
114,44,"Male",54,"PayPal","Online","Member","Winter","Accessories","New Jersey"
115,70,"Male",95,"Cash","Offline","Member","Summer","Outerwear","Massachusetts"
116,53,"Male",94,"Debit Card","Standard","Member","Spring","Clothing","Wyoming"
117,55,"Male",86,"Venmo","Online","Member","Spring","Footwear","Virginia"
118,50,"Male",32,"Cash","Online","Member","Summer","Footwear","South Dakota"
119,50,"Male",45,"Cash","2-Day Shipping","Member","Fall","Clothing","Kentucky"
120,38,"Male",76,"Cash","Online","Member","Fall","Outerwear","Wyoming"
121,64,"Male",84,"Bank Transfer","Online","Member","Summer","Accessories","West Virginia"
122,19,"Male",72,"Cash","Standard","Member","Winter","Clothing","Virginia"
123,40,"Male",40,"Cash","2-Day Shipping","Member","Spring","Accessories","Washington"
124,57,"Male",89,"Cash","Online","Member","Fall","Clothing","Louisiana"
125,44,"Male",86,"PayPal","Online","Member","Spring","Clothing","Nevada"
126,49,"Male",54,"Venmo","Online","Member","Winter","Clothing","California"
127,43,"Male",36,"Cash","Offline","Member","Spring","Clothing","Mississippi"
128,24,"Male",89,"Credit Card","Online","Member","Winter","Clothing","Mississippi"
129,20,"Male",32,"Credit Card","Standard","Member","Spring","Accessories","California"
130,24,"Male",67,"PayPal","2-Day Shipping","Member","Summer","Clothing","Pennsylvania"
131,44,"Male",39,"PayPal","Online","Member","Fall","Accessories","Kentucky"
132,28,"Male",29,"Credit Card","Standard","Member","Summer","Clothing","Maine"
133,30,"Male",58,"PayPal","2-Day Shipping","Member","Fall","Accessories","New Mexico"
134,52,"Male",65,"Venmo","Online","Member","Winter","Clothing","Montana"
135,43,"Male",94,"Cash","Offline","Member","Fall","Accessories","Texas"
136,43,"Male",81,"PayPal","Online","Member","Fall","Footwear","Kansas"
137,39,"Male",86,"Debit Card","Online","Member","Winter","Clothing","South Carolina"
138,68,"Male",43,"PayPal","Online","Member","Spring","Footwear","Colorado"
139,68,"Male",29,"Bank Transfer","Offline","Member","Winter","Clothing","Georgia"
140,49,"Male",95,"Venmo","Offline","Member","Fall","Outerwear","Florida"
141,63,"Male",28,"Credit Card","2-Day Shipping","Member","Fall","Clothing","North Carolina"
142,56,"Male",46,"PayPal","Online","Member","Fall","Accessories","Virginia"
143,37,"Male",58,"Credit Card","Online","Member","Fall","Outerwear","Nebraska"
144,30,"Male",48,"PayPal","Offline","Member","Fall","Outerwear","Missouri"
145,19,"Male",43,"Cash","Online","Member","Fall","Footwear","New Jersey"
146,24,"Male",95,"Debit Card","Standard","Member","Fall","Accessories","Missouri"
147,52,"Male",30,"Venmo","Standard","Member","Fall","Clothing","Colorado"
148,63,"Male",64,"Bank Transfer","2-Day Shipping","Member","Summer","Footwear","Idaho"
149,37,"Male",90,"Debit Card","Offline","Member","Fall","Accessories","Wyoming"
150,38,"Male",76,"PayPal","Online","Member","Summer","Clothing","Delaware"
151,35,"Male",96,"Debit Card","Standard","Member","Fall","Footwear","California"
152,28,"Male",47,"Venmo","Online","Member","Fall","Accessories","North Dakota"
153,30,"Male",85,"Venmo","Online","Member","Summer","Clothing","South Carolina"
154,69,"Male",55,"Debit Card","Standard","Member","Winter","Clothing","North Carolina"
155,41,"Male",98,"Venmo","Online","Member","Fall","Clothing","Oklahoma"
156,63,"Male",77,"Bank Transfer","Online","Member","Spring","Clothing","Maine"
157,35,"Male",26,"Debit Card","Standard","Member","Fall","Clothing","Missouri"
158,36,"Male",68,"Bank Transfer","Online","Member","Fall","Accessories","Vermont"
159,25,"Male",73,"Bank Transfer","Standard","Member","Fall","Clothing","Connecticut"
160,58,"Male",27,"Bank Transfer","Offline","Member","Fall","Accessories","New Hampshire"
161,27,"Male",23,"Venmo","Online","Member","Summer","Accessories","Texas"
162,65,"Male",49,"Venmo","Online","Member","Fall","Accessories","North Dakota"
163,54,"Male",74,"PayPal","Offline","Member","Summer","Accessories","California"
164,54,"Male",67,"Debit Card","Standard","Member","Summer","Clothing","Virginia"
165,59,"Male",65,"Credit Card","Online","Member","Spring","Accessories","Delaware"
166,42,"Male",60,"Cash","Offline","Member","Winter","Accessories","Kentucky"
167,46,"Male",31,"Cash","Offline","Member","Fall","Footwear","Delaware"
168,33,"Male",27,"Credit Card","Online","Member","Fall","Accessories","Arkansas"
169,34,"Male",80,"Cash","Online","Member","Summer","Footwear","Louisiana"
170,27,"Male",30,"PayPal","Standard","Member","Summer","Outerwear","Nevada"
171,52,"Male",25,"Venmo","Offline","Member","Fall","Clothing","Wyoming"
172,29,"Male",35,"Credit Card","Offline","Member","Summer","Clothing","Virginia"
173,54,"Male",67,"Credit Card","Online","Member","Summer","Accessories","Nebraska"
174,25,"Male",46,"Cash","Standard","Member","Fall","Accessories","Hawaii"
175,41,"Male",35,"Venmo","Online","Member","Winter","Footwear","Vermont"
176,53,"Male",86,"Bank Transfer","Online","Member","Fall","Outerwear","Oklahoma"
177,53,"Male",81,"Credit Card","Online","Member","Spring","Accessories","New Hampshire"
178,21,"Male",42,"Bank Transfer","Online","Member","Fall","Clothing","Kansas"
179,61,"Male",43,"PayPal","2-Day Shipping","Member","Fall","Clothing","Idaho"
